type_id,lowest,average,highest,volume
648,3750000.0,4074942.856666667,4441500.0,40.0
649,3700000.0,4207948.611666667,7179000.0,33.0
650,4747000.0,4752998.611666667,4953000.0,25.0
651,10000000.0,11487500.0,12000000.0,7.0
652,9799000.0,9799000.0,9799000.0,1.0
653,9000000.0,9525083.3325,9701000.0,6.0
654,5800000.0,5982050.0,5993000.0,15.0
655,53520.0,4471112.198333333,4750000.0,104.0
656,4499000.0,4499657.143333334,4500000.0,26.0
657,4475000.0,4492404.761666667,4500000.0,50.0
671,,,,
672,100.0,22171.851666666666,33500.0,902.0
683,,,,
684,,,,
685,,,,
686,,,,
687,,,,
688,,,,
689,,,,
690,,,,
691,,,,
692,,,,
693,,,,
785,,,,
786,,,,
788,,,,
790,,,,
803,,,,
804,,,,
805,,,,
806,,,,
807,,,,
808,,,,
809,,,,
810,,,,
811,,,,
812,,,,
813,,,,
814,,,,
819,,,,
820,,,,
821,,,,
822,,,,
823,,,,
824,,,,
825,,,,
826,,,,
827,,,,
828,,,,
829,,,,
830,,,,
831,,,,
832,,,,
833,,,,
834,,,,
835,,,,
836,,,,
837,,,,
838,,,,
839,,,,
840,,,,
841,,,,
842,,,,
843,,,,
844,,,,
845,,,,
846,,,,
847,,,,
848,,,,
879,,,,
880,,,,
881,,,,
882,,,,
883,,,,
884,,,,
885,,,,
886,,,,
887,,,,
888,,,,
889,,,,
890,,,,
891,,,,
892,,,,
893,,,,
894,,,,
895,,,,
896,,,,
897,,,,
898,,,,
899,,,,
900,,,,
901,,,,
902,,,,
936,,,,
937,,,,
938,,,,
939,,,,
940,,,,
941,,,,
944,,,,
945,,,,
946,,,,
949,,,,
950,,,,
952,,,,
954,,,,
955,,,,
956,,,,
967,2500000.0,2500000.0,2500000.0,1.0
968,,,,
969,,,,
970,,,,
971,,,,
972,,,,
973,,,,
974,,,,
975,,,,
976,,,,
977,,,,
978,,,,
979,,,,
983,,,,
984,,,,
985,,,,
986,,,,
987,,,,
988,,,,
989,,,,
990,,,,
991,,,,
992,,,,
994,,,,
995,,,,
996,,,,
997,,,,
998,,,,
999,,,,
1002,,,,
1010,,,,
1026,,,,
1032,,,,
1067,,,,
1072,,,,
1074,,,,
1075,,,,
1076,,,,
1079,,,,
1096,,,,
1099,,,,
1100,,,,
1102,,,,
1105,,,,
1106,,,,
1109,,,,
1112,,,,
1113,,,,
1114,,,,
1115,,,,
1116,,,,
1117,,,,
1118,,,,
1119,,,,
1120,,,,
1121,,,,
1122,,,,
1123,,,,
1124,,,,
1125,,,,
1126,,,,
1128,,,,
1129,,,,
1130,,,,
1131,,,,
1132,,,,
1133,,,,
1134,,,,
1135,,,,
1136,,,,
1137,,,,
1138,,,,
1139,,,,
1140,,,,
1141,,,,
1142,,,,
1143,,,,
1144,,,,
1145,,,,
1146,,,,
1147,,,,
1148,,,,
1149,,,,
1150,,,,
1151,,,,
1152,,,,
1153,,,,
1154,,,,
1155,,,,
1156,,,,
1157,,,,
1158,,,,
1159,,,,
1160,,,,
1161,,,,
1162,,,,
1163,,,,
1164,,,,
1165,,,,
1166,,,,
1167,,,,
1168,,,,
1169,,,,
1170,,,,
1171,,,,
1172,,,,
1173,,,,
1174,,,,
1175,,,,
1176,,,,
1177,,,,
1178,,,,
1179,,,,
1182,34140.0,76977.94,83320.0,197.0
1183,660200.0,663388.8883333333,709000.0,60.0
1185,90610.0,90610.0,90610.0,7.0
1186,,,,
1190,,,,
1192,,,,
1193,,,,
1195,83990.0,83990.0,83990.0,23.0
1196,,,,
1197,,,,
1198,,,,
1201,129000.0,136693.83,144600.0,349.0
1202,,,,
1204,,,,
1208,,,,
1210,,,,
1212,,,,
1214,,,,
1216,,,,
1218,,,,
1220,,,,
1221,,,,
1223,20880.0,20880.0,20880.0,300.0
1224,,,,
1225,7000.0,7000.0,7000.0,315.0
1226,,,,
1227,409.0,409.0,409.0,3556.0
1228,,,,
1229,,,,
1230,,,,
1231,,,,
1232,,,,
1236,469600.0,517310.10833333334,553700.0,393.0
1240,,,,
1242,,,,
1244,200000.0,200000.0,200000.0,8.0
1245,,,,
1246,44900.0,44900.0,44900.0,11.0
1247,,,,
1248,849900.0,861043.9216666667,868000.0,973.0
1254,85370.0,85370.0,85370.0,4.0
1255,,,,
1256,474600.0,474650.0,474700.0,13.0
1262,,,,
1264,,,,
1265,,,,
1266,599900.0,599900.0,599900.0,5.0
1272,,,,
1274,,,,
1275,,,,
1276,552900.0,552940.0,553000.0,12.0
1282,,,,
1284,,,,
1285,,,,
1286,240300.0,298240.0,312800.0,7.0
1292,,,,
1294,,,,
1295,,,,
1296,306400.0,306466.6666666667,306600.0,4.0
1302,,,,
1304,14500.0,14500.0,14500.0,8.0
1305,,,,
1306,262000.0,281811.8116666667,283200.0,233.0
1315,,,,
1317,10000.0,10000.0,10000.0,19.0
1318,,,,
1319,373600.0,373966.6666666667,375200.0,1135.0
1333,,,,
1334,,,,
1335,325400.0,326864.71,434200.0,448.0
1351,,,,
1353,499000.0,499200.0,499400.0,41.0
1354,,,,
1355,231100.0,736051.5683333334,738600.0,220.0
1401,,,,
1403,46390.0,46459.35833333334,46500.0,70.0
1404,,,,
1405,424500.0,451616.6666666667,466500.0,1360.0
1419,,,,
1422,669900.0,671749.7183333334,675000.0,230.0
1436,100100.0,987660.0,1008000.0,31.0
1445,84830.0,84830.0,84830.0,5.0
1446,,,,
1447,568700.0,572673.2183333334,649000.0,593.0
1537,,,,
1539,79010.0,79010.0,79010.0,5.0
1540,,,,
1541,769900.0,805370.5083333333,851000.0,545.0
1547,,,,
1548,,,,
1549,1895000.0,1895000.0,1895000.0,1.0
1551,,,,
1552,,,,
1553,4950000.0,4950000.0,4950000.0,7.0
1557,,,,
1558,,,,
1559,1893000.0,1893000.0,1893000.0,4.0
1563,,,,
1564,,,,
1565,2244000.0,2247900.0,2250000.0,14.0
1798,,,,
1800,,,,
1802,,,,
1804,,,,
1808,343000.0,343875.0,344000.0,5.0
1809,,,,
1810,49.0,49.0,49.0,50200.0
1811,,,,
1814,3.71,10.855,18.0,700.0
1815,,,,
1816,6.25,22.625,60.0,400.0
1817,,,,
1818,22.0,101.16666666666667,119.0,119311.0
1819,,,,
1820,,,,
1821,,,,
1822,,,,
1823,,,,
1824,900.0,900.0,900.0,200.0
1825,,,,
1826,33.11,210.22200000000004,300.0,1088530.0
1827,,,,
1828,34.05,94.80999999999999,281.9,1800.0
1829,,,,
1830,33.01,99.806,200.0,31900.0
1831,,,,
1832,33.01,52.788,131.9,1500.0
1833,,,,
1855,948000.0,949037.5,950000.0,6.0
1875,300000.0,300000.0,300000.0,1.0
1876,,,,
1877,1126000.0,1138018.875,1180000.0,965.0
1893,,,,
1944,4740000.0,6327500.0,11070000.0,5.0
1945,,,,
1948,,,,
1949,,,,
1951,,,,
1952,118000.0,1186316.6216666668,1199000.0,446.0
1955,,,,
